Id,Label,sex,nationality,occupation,year_of_birth,military_civilian,year_of_selection,total_number_of_missions
196,"Bolden, Charles F., Jr.",male,U.S.,pilot,1946,military,1980,4
197,"Chang-Diaz, Franklin R.",male,U.S.,MSP,1950,civilian,1980,7
198,"Cenker, Robert Joseph",male,U.S.,PSP,1948,civilian,1985,1
199,"Nelson, William Clarence",male,U.S.,PSP,1942,civilian,1984,1
200,"Smith, Michael John",male,U.S.,pilot,1945,military,1980,1
201,"Jarvis, Gregory Bruce",male,U.S.,PSP,1944,civilian,1984,1
202,"McAuliffe, Sharon Christa Corrigan",female,U.S.,PSP,1948,civilian,1985,1
203,"Laveykin, Aleksandr",male,U.S.S.R/Russia,flight engineer,1951,civilian,1978,1
204,"Viktorenko, Aleksandr",male,U.S.S.R/Russia,commander,1947,military,1978,4
205,"Faris, M. Achmed",male,Syria,MSP,1951,military,1985,1
206,"Manarov, Musa",male,U.S.S.R/Russia,flight engineer,1951,military,1978,2
207,"Levchenko, Anatoli",male,U.S.S.R/Russia,MSP,1941,military,1977,1
208,"Solovyev, Anatoly",male,U.S.S.R/Russia,commander,1948,military,1976,5
209,"Aleksandrov, Aleksandr",male,Bulgaria,pilot,1951,military,1978,1
210,"Polyakov, Valeri",male,U.S.S.R/Russia,flight engineer,1942,civilian,1972,2
211,"Mohmand, Abdul Ahad",male,Afghanistan,MSP,1959,military,1988,1
212,"Krikalev, Sergei",male,U.S.S.R/Russia,flight engineer,1958,civilian,1985,6
213,"Gardner, Guy S.",male,U.S.,pilot,1948,military,1980,2
214,"Shepherd, William M.",male,U.S.,MSP,1949,military,1984,4
215,"Blaha, John E.",male,U.S.,pilot,1942,military,1980,5
216,"Springer, Robert C.",male,U.S.,MSP,1942,military,1980,2
217,"Bagian, James P.",male,U.S.,MSP,1952,civilian,1980,2
218,"Lee, Mark C.",male,U.S.,MSP,1952,military,1984,4
219,"Richards, Richard N.",male,U.S.,pilot,1946,military,1980,4
220,"Adamson, James C.",male,U.S.,MSP,1946,military,1984,2
221,"Brown, Mark N.",male,U.S.,MSP,1951,military,1984,2
222,"McCulley, Michael J.",male,U.S.,pilot,1943,military,1984,1
223,"Baker, Ellen S.",female,U.S.,MSP,1953,civilian,1984,3
224,"Carter, Manley Lanier, Jr.",male,U.S.,MSP,1947,military,1984,1
225,"Thornton, Kathryn C.",female,U.S.,MSP,1952,civilian,1984,4
226,"Wetherbee, James D.",male,U.S.,pilot,1952,military,1984,6
227,"Ivins, Marsha S.",female,U.S.,MSP,1951,civilian,1984,5
228,"Low, G. David",male,U.S.,MSP,1956,civilian,1984,3
229,"Balandin, Aleksandr",male,U.S.S.R/Russia,flight engineer,1953,civilian,1978,1
230,"Casper, John H.",male,U.S.,pilot,1943,military,1984,4
231,"Thuot, Pierre J.",male,U.S.,MSP,1955,military,1985,3
232,"Manakov, Gennadi",male,U.S.S.R/Russia,commander,1950,military,1985,2
233,"Cabana, Robert D.",male,U.S.,pilot,1949,military,1985,4
234,"Melnick, Bruce E.",male,U.S.,MSP,1949,military,1987,2
235,"Akers, Thomas D.",male,U.S.,MSP,1951,military,1987,4
236,"Culbertson, Frank L., Jr.",male,U.S.,pilot,1949,military,1984,3
237,"Meade, Carl J.",male,U.S.,MSP,1950,military,1985,3
238,"Gemar, Charles D.",male,U.S.,MSP,1955,military,1985,3
239,"Durrance, Samuel Thornton",male,U.S.,PSP,1943,civilian,1984,2
240,"Parise, Ronald Anthony",male,U.S.,PSP,1951,civilian,1984,2
241,"Afanasyev, Viktor Mikhaylovich",male,U.S.S.R/Russia,commander,1948,military,1985,4
242,"Akiyama, Toyohiro",male,Japan,Other (Journalist),1942,civilian,1989,1
243,"Cameron, Kenneth D.",male,U.S.,pilot,1949,military,1984,3
244,"Godwin, Linda M.",female,U.S.,MSP,1952,civilian,1985,4
245,"Apt, Jerome",male,U.S.,MSP,1949,civilian,1985,4
246,"Hammond, L. Blaine, Jr.",male,U.S.,pilot,1952,military,1984,2
247,"Harbaugh, Gregory J.",male,U.S.,MSP,1956,civilian,1987,4
248,"McMonagle, Donald R.",male,U.S.,MSP,1952,military,1987,3
249,"Veach, Charles Lacy",male,U.S.,MSP,1944,civilian,1984,2
250,"Hieb, Richard J.",male,U.S.,MSP,1955,civilian,1985,3
251,"Artsebarsky, Anatoly",male,U.S.S.R/Russia,commander,1956,military,1985,1
252,Helen Sharman,female,U.K.,MSP,1963,civilian,1989,1
253,"Gutierrez, Sidney M.",male,U.S.,MSP,1951,military,1984,2
254,"Jernigan, Tamara E.",female,U.S.,MSP,1959,civilian,1985,5
255,"Gaffney, Andrew",male,U.S.,PSP,1946,civilian,1984,1
256,"Hughes-Fulford, Millie Elizabeth",female,U.S.,PSP,1945,civilian,1983,1
257,"Baker, Michael A.",male,U.S.,pilot,1953,military,1985,4
258,"Reightler, Kenneth S., Jr.",male,U.S.,pilot,1951,military,1987,2
259,"Aubakirov, Toktar",male,U.S.S.R/Russia,MSP,1946,military,1991,1
260,"Viehbock, Franz",male,Austria,MSP,1960,civilian,1989,1
261,"Henricks, Terence T.",male,U.S.,pilot,1952,military,1985,4
262,"Voss, James S.",male,U.S.,MSP,1949,military,1987,5
263,"Runco, Mario, Jr.",male,U.S.,MSP,1952,military,1987,3
264,"Hennen, Thomas John",male,U.S.,PSP,1952,military,1988,1
265,"Oswald, Stephen S.",male,U.S.,pilot,1951,military,1985,3
266,"Readdy, William F.",male,U.S.,MSP,1952,civilian,1987,3
267,"Bondar, Roberta Lynn",female,Canada,PSP,1945,civilian,1983,1
268,"Kaleri, Aleksandr",male,U.S.S.R/Russia,flight engineer,1956,civilian,1984,5
269,"Flade, Klaus-Dietrich",male,Germany,MSP,1952,military,1990,1
270,"Duffy, Brian",male,U.S.,pilot,1953,military,1985,4
271,"Foale, C. Michael",male,U.S.,MSP,1957,civilian,1987,6
272,"Frimout, David",male,Belgium,PSP,1941,civilian,1985,1
273,"Chilton, Kevin P.",male,U.S.,pilot,1954,military,1987,3
274,"Bowersox, Kenneth D.",male,U.S.,pilot,1956,military,1987,5
275,"DeLucas, Lawrence James",male,U.S.,PSP,1950,civilian,1990,1
276,"Trinh, Eugene Huu-Chau",male,U.S.,PSP,1950,civilian,1983,1
277,"Avdeyev, Sergei",male,U.S.S.R/Russia,flight engineer,1956,civilian,1987,3
278,"Tognini, Michel",male,France,MSP,1949,military,1985,2
279,"Allen, Andrew M.",male,U.S.,pilot,1955,military,1987,3
280,"Nicollier, Claude",male,Switzerland,PSP,1944,civilian,1978,4
281,Franco Malerba,male,Italy,PSP,1946,civilian,1998,1
282,"Brown, Curtis L., Jr.",male,U.S.,pilot,1956,military,1987,6
283,"Davis, Nancy Jan",female,U.S.,MSP,1953,civilian,1987,3
284,"Jemison, Mae C.",female,U.S.,MSP,1956,civilian,1987,1
285,"Mohri, Mamoru",male,Japan,PSP,1948,civilian,1985,2
286,Steven MacLean,male,Canada,PSP,1954,military,1983,2
287,"Clifford, Michael R.",male,U.S.,MSP,1952,military,1990,3
288,"Helms, Susan J.",female,U.S.,MSP,1958,military,1990,5
289,"Poleshchuk, Aleksandr",male,U.S.S.R/Russia,flight engineer,1953,military,1989,1
290,"Cockrell, Kenneth D.",male,U.S.,MSP,1950,civilian,1990,5
291,"Ochoa, Ellen",female,U.S.,MSP,1958,civilian,1990,4
292,"Precourt, Charles J., Jr.",male,U.S.,MSP,1955,military,1990,4
293,"Harris, Bernard A., Jr.",male,U.S.,MSP,1956,civilian,1990,2
294,"Walter, Ulrich",male,Germany,PSP,1954,civilian,1987,1
295,"Schlegel, Hans",male,Germany,PSP,1951,civilian,1987,2
296,"Currie, Nancy J.",female,U.S.,MSP,1958,military,1990,4
297,"Wisoff, Peter J. K.",male,U.S.,MSP,1958,civilian,1990,4
298,"Voss, Janice E.",female,U.S.,MSP,1956,civilian,1990,5
299,"Tsibliyev, Vasili",male,U.S.S.R/Russia,commander,1954,military,1987,2
300,"Haignerï¿½ï¿½, Jean-Pi",male,France,MSP,1948,military,1985,2
301,"Newman, James H.",male,U.S.,MSP,1956,civilian,1990,4
302,"Bursch, Daniel W.",male,U.S.,MSP,1957,military,1990,4
